Activity Id,Students Sets,Subject,Teachers,Room,SKS
273,SE-02-01,23725 - SEA3033 - PENJAMINAN DAN KEAMANAN INFORMASI,PNG,KELAS,3
274,SE-03-01,23693 - FIA2014 - PERANCANGAN BASIS DATA,PNG,KELAS,3
275,SE-03-01,23693 - FIA2014 - PERANCANGAN BASIS DATA,PNG,LAB,3
276,SE-03-01,23694 - FIA2023 - SISTEM OPERASI KOMPUTER,PNG,KELAS,3
277,SE-04-01,23684 - FIA1214 - ALGORITMA DAN STRUKTUR DATA,PNG,KELAS,3
278,SE-04-01,23684 - FIA1214 - ALGORITMA DAN STRUKTUR DATA,PNG,LAB,3
279,IS-02-01,23823 - ISA3223 - REKAYASA PERANGKAT LUNAK: CAPSTONE PROJECT,PUR,KELAS,3
280,IS-02-02,23823 - ISA3223 - REKAYASA PERANGKAT LUNAK: CAPSTONE PROJECT,PUR,KELAS,3
281,IS-03-04,23810 - ISA2223 - PERANCANGAN INTERAKSI,PUR,KELAS,3
282,IS-03-05,23810 - ISA2223 - PERANCANGAN INTERAKSI,PUR,KELAS,3
283,DB-01-01,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,KELAS,2
284,DB-01-02,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,KELAS,2
285,IS-03-03,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,KELAS,3
286,IS-03-04,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,KELAS,3
287,IS-03-05,23811 - ISA2233 - REKAYASA PROSES BISNIS,RAS,KELAS,3
288,IE-02-01,23623 - IEA3233 - PERANCANGAN PRODUK,RAZ,KELAS,3
289,IE-02-01,23621 - IEA3213 - PENGENDALIAN DAN PENJAMINAN MUTU,RAZ,KELAS,3
290,IE-02-02,23623 - IEA3233 - PERANCANGAN PRODUK,RAZ,KELAS,3
291,IE-02-02,23621 - IEA3213 - PENGENDALIAN DAN PENJAMINAN MUTU,RAZ,KELAS,3
292,IE-01-01,23632 - IEA4023 - MANAJEMEN RANTAI PASOK KEMARITIMAN,RDP,KELAS,3
293,IE-03-01,23581 - IEA2222 - ANALISA DAN PERANCANGAN KERJA,RDP,KELAS,2
294,IE-03-01,23584 - IEA2221 - PRAKTIKUM PERANCANGAN KERJA DAN ERGONOMI,RDP,LAB,1
295,IE-03-02,23581 - IEA2222 - ANALISA DAN PERANCANGAN KERJA,RDP,KELAS,2
296,IE-03-02,23584 - IEA2221 - PRAKTIKUM PERANCANGAN KERJA DAN ERGONOMI,RDP,LAB,1
297,IE-03-03,23581 - IEA2222 - ANALISA DAN PERANCANGAN KERJA,RDP,KELAS,2
298,IE-03-03,23584 - IEA2221 - PRAKTIKUM PERANCANGAN KERJA DAN ERGONOMI,RDP,LAB,1
299,DS-01-01,23879 - FIB1042 - PENGANTAR  INDUSTRI TELEKOMUNIKASI,RFD,KELAS,2
300,SE-04-01,23683 - SCA1024 - FISIKA DASAR B,RFD,KELAS,3
301,SE-04-01,23683 - SCA1024 - FISIKA DASAR B,RFD,LAB,3
302,IF-01-01,23925 - IFB1244 - SISTEM DIGITAL,RFM,KELAS,3
